1106283,0x3C2,false,8, 0x80, 0x00, 0x02, 0x19, 0xC8, 0x00, 0x00, 0x00

1106293,0x3C2,false,8, 0x80, 0x00, 0x02, 0x18, 0xC8, 0x00, 0x00, 0x00

1106303,0x3C2,false,8, 0x80, 0x00, 0x02, 0x18, 0xC8, 0x00, 0x00, 0x00

1106313,0x3C2,false,8, 0x80, 0x00, 0x02, 0x18, 0xC8, 0x00, 0x00, 0x00

1106323,0x3C2,false,8, 0x80, 0x00, 0x02, 0x19, 0xC8, 0x00, 0x00, 0x00

1106333,0x3C2,false,8, 0x80, 0x00, 0x02, 0x18, 0xC8, 0x00, 0x00, 0x00

1106343,0x3C2,false,8, 0x80, 0x00, 0x02, 0x16, 0xC8, 0x00, 0x00, 0x00

1106353,0x3C2,false,8, 0x80, 0x00, 0x02, 0x16, 0xC8, 0x00, 0x00, 0x00

1106363,0x3C2,false,8, 0x80, 0x00, 0x02, 0x17, 0xC8, 0x00, 0x00, 0x00

1106373,0x3C2,false,8, 0x80, 0x00, 0x02, 0x17, 0xC8, 0x00, 0x00, 0x00

1106383,0x3C2,false,8, 0x80, 0x00, 0x02, 0x1A, 0xC8, 0x00, 0x00, 0x00

1106393,0x3C2,false,8, 0x80, 0x00, 0x02, 0x18, 0xC8, 0x00, 0x00, 0x00

1106403,0x3C2,false,8, 0x80, 0x00, 0x02, 0x18, 0xC8, 0x00, 0x00, 0x00

1106413,0x3C2,false,8, 0x80, 0x00, 0x02, 0x19, 0xC8, 0x00, 0x00, 0x00

1106423,0x3C2,false,8, 0x80, 0x00, 0x02, 0x18, 0xC8, 0x00, 0x00, 0x00

1106433,0x3C2,false,8, 0x80, 0x00, 0x02, 0x19, 0xC8, 0x00, 0x00, 0x00

1106438,0x337,false,3, 0x00, 0x00, 0x02

1106440,0x367,false,3, 0x00, 0x00, 0x02

1106442,0x307,false,3, 0x00, 0x00, 0x02

1106443,0x3C2,false,8, 0x80, 0x00, 0x02, 0x15, 0xC8, 0x00, 0x00, 0x00

1106453,0x3C2,false,8, 0x80, 0x00, 0x02, 0x18, 0xC8, 0x00, 0x00, 0x00

1106463,0x3C2,false,8, 0x80, 0x00, 0x02, 0x18, 0xC8, 0x00, 0x00, 0x00

1106473,0x3C2,false,8, 0x80, 0x00, 0x02, 0x19, 0xC8, 0x00, 0x00, 0x00

1106483,0x3C2,false,8, 0x80, 0x00, 0x02, 0x17, 0xC8, 0x00, 0x00, 0x00

