35388,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6F, 0xC8, 0x00, 0x00, 0x00

35398,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6F, 0xC8, 0x00, 0x00, 0x00

35408,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x70, 0xC8, 0x00, 0x00, 0x00

35418,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x72, 0xC8, 0x00, 0x00, 0x00

35428,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x70, 0xC8, 0x00, 0x00, 0x00

35438,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x71, 0xC8, 0x00, 0x00, 0x00

35448,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6E, 0xC8, 0x00, 0x00, 0x00

35458,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6F, 0xC8, 0x00, 0x00, 0x00

35468,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6D, 0xC8, 0x00, 0x00, 0x00

35478,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6B, 0xC8, 0x00, 0x00, 0x00

35488,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x72, 0xC8, 0x00, 0x00, 0x00

35494,0x367,false,3, 0x00, 0x00, 0x02

35498,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6B, 0xC8, 0x00, 0x00, 0x00

35508,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6F, 0xC8, 0x00, 0x00, 0x00

35518,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x64, 0xC8, 0x00, 0x00, 0x00

35528,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x61, 0xC8, 0x00, 0x00, 0x00

35538,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x58, 0xC8, 0x00, 0x00, 0x00

35548,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x56, 0xC8, 0x00, 0x00, 0x00

35558,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x4D, 0xC8, 0x00, 0x00, 0x00

35568,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x41, 0xC8, 0x00, 0x00, 0x00



35571

Chargers connected

 ID 7 Found 



s - Menu







35578,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x45, 0xC8, 0x00, 0x00, 0x00

35588,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x4A, 0xC8, 0x00, 0x00, 0x00

35598,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x43, 0xC8, 0x00, 0x00, 0x00

35608,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x43, 0xC8, 0x00, 0x00, 0x00

35618,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x3D, 0xC8, 0x00, 0x00, 0x00

35628,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x47, 0xC8, 0x00, 0x00, 0x00

35638,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x50, 0xC8, 0x00, 0x00, 0x00

35648,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x52, 0xC8, 0x00, 0x00, 0x00

35658,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x55, 0xC8, 0x00, 0x00, 0x00

35668,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x60, 0xC8, 0x00, 0x00, 0x00

35678,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x5A, 0xC8, 0x00, 0x00, 0x00

35688,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x62, 0xC8, 0x00, 0x00, 0x00

35698,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x72, 0xC8, 0x00, 0x00, 0x00

35708,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6F, 0xC8, 0x00, 0x00, 0x00

35718,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6F, 0xC8, 0x00, 0x00, 0x00

35728,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6E, 0xC8, 0x00, 0x00, 0x00

35738,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x72, 0xC8, 0x00, 0x00, 0x00

35748,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x68, 0xC8, 0x00, 0x00, 0x00

35758,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6A, 0xC8, 0x00, 0x00, 0x00

35768,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6A, 0xC8, 0x00, 0x00, 0x00

